event_class,kind,value
CEventEmailFromSchool,Desc,"Dear {name} Bacterial pink eye is going around the school. Kids are like petri dishes, and it is common for these bacteria to pass from one child to another in school settings. Unfortunately, it appears that {name2} has come down with a severe case of the infection. Symptoms are intensely red, scratchy eyes, with tearing and a green discharge. Bacterial pink eye is highly contagious, so pay extra attention to personal hygiene. You may want to get the advice of a doctor, but a dose of antibiotics is definitely in order."
CEventFruitcakes,Title,Fruitcakes
CEventFruitcakes,Desc,A dapper teen is at the door raising money for marching band uniforms. He holds up a shiny tin featuring a picture of a delicious-looking fruitcake for just $25.
CEventFruitcakes,ChoiceA,Buy.
CEventFruitcakes,ChoiceB,Don't buy.
CEventFruitcakes,ResultA,"You know, I sold these too when I was in high school band. I'll take one."
CEventFruitcakes,ResultB,"Sorry, no thanks."
CEventGreatUncleElmer,Title,Subject: Inheritance
CEventGreatUncleElmer,Desc,"Dear {name}, We have never met, but I am the great-great-granddaughter of your great-great grandfather's brother, Elmer. Before Elmer died, he stipulated in a will that whatever material possessions remained, after obligations and burial expenses were paid, must always be distributed equally among family members, no matter how distant, with two exceptions. Some items handed down may only go to the eldest male descendent remaining, while other items may only go to the eldest female descendant.As you are now the eldest remaining male descendent, Elmer's bookshelf is now yours to hold until it is time to pass it along once again.Take care, and I hope we will have the chance to visit one of these days soon. Love, Your great-great-great-aunt Dorothy"
CEventGroupOfKidsAtTheDoor,Title,The Kids at the Door
CEventGroupOfKidsAtTheDoor,Desc,"A motley crew of grade school kids crowd around the front door. Judging from the smudges on their faces, bed-head hair, and grass-stained clothes, it looks like they've been roughhousing outside all day. The one in the center holds a cardboard box. Within the cardboard box are five of the cutest kittens you've ever seen. The boy says that his cat, Misty, had them, and his dad said he can't keep them all. ""So, do you want one?"""
CEventGroupOfKidsAtTheDoor,ChoiceA,Take one
CEventGroupOfKidsAtTheDoor,ChoiceB,No thanks
CEventGroupOfKidsAtTheDoor,ResultA,"You pet the kitties, and suddenly a black one with short hair crawls all of the way up your shirt sleeve to your shoulder! Apparently, she's the one. You tell the boy you'll give her a great home and take really good care of her. The boy thanks you and wonders if he can come back to say hello to her sometime. ""Any time,"" you tell him. He turns and walks back down the steps with the box, and the other kids follow him."
CEventGroupOfKidsAtTheDoor,ResultB,"""I'm very sorry, but no. I hope you have really great luck finding good homes for them."" The boy nods. ""Okay. Thanks anyway."" He turns to leave, and the others follow him."
CEventHearStrangeSound,Title,The Strange Scratching Sound
CEventHearStrangeSound,Desc,"You're reading an intense murder mystery, when suddenly it dawns on you that you're hearing an odd sound... like an animal scratching on wood. Apprehensive, you nevertheless rise to investigate. After walking around the house listening intently, you realize the sound is coming from the front door. You tiptoe quietly in that direction, but the sound suddenly stops. You wait for a minute. No sound. But when you turn to walk away, the sound comes back. Seriously spooked now, you summon your courage, sneak up on the front door and risk a look through the peephole, but you can't see anything out there."
CEventHearStrangeSound,ChoiceA,Open the door
CEventHearStrangeSound,ChoiceB,Walk away
CEventHearStrangeSound,ResultA,"You take a deep breath, let it out slowly, and then suddenly open the door! Standing on the front porch, cringing as if you could be dangerous, is a completely soaked and shivering dog. She seems more pathetic than dangerous, so with a few soothing words, you risk a closer look. There's no collar, but other than being cold, she seems okay. Wagging her tail, she suddenly licks your face. You can't just leave her shivering in the rain on the front porch, so you invite her in, and boy is she happy. It looks like you have a new best friend!"
CEventHearStrangeSound,ResultB,"You slowly back away from the door. After a moment the scratching stops. You wait several minutes. The sound doesn't come back, so you finally wander back to your book and settle in for a good read, amused that you allowed yourself to get so spooked."
CEventInterestingArticleAboutFossils,Title,Interesting Article about Fossils
CEventInterestingArticleAboutFossils,Desc,"It's email from your friend Aiden. According to an article in the local newspaper, the land around your house was an ancient mud bog and is full of fossils! He says that you should poke around a bit. Maybe you'll find something valuable."
CEventInvitation,Title,The Invitation
CEventInvitation,Desc,A disheveled girl is at the door with an invitation for your child to a birthday party.
CEventInvitation,ChoiceA,Allow
CEventInvitation,ChoiceB,Disallow
CEventInvitation,ResultA,"Yes, of course!"
CEventInvitation,ResultB,"Sorry, I'm afraid the answer is no."
CEventLoanReturned,Title,A Loan Returned
CEventLoanReturned,Desc,"There was a knock at the door. Standing there was a man you didn't recognize at first, but was the homeless man you encountered a year ago. He was nearly unrecognizable"
CEventMarchingBandTripExpenses,Title,Subject: Upcoming Marching Band Competition Fieldtrip
CEventMarchingBandTripExpenses,Desc,"We thought you would like to know that the ACME Rocket Propelled Roller Skates that we've been holding on consignment for you have sold! Congratulations. Per our arrangement, we made a direct deposit to your bank. Please let us know if we can assist you further."
CEventMenInBlackAtDoor,Title,The Men in Black
CEventMenInBlackAtDoor,Desc,"There's a knock at the front door. Through the peephole, you can see two men dressed in black suits and black Fedora hats. They're both thin and pale with white hair, and both wear dark sunglasses. Parked out front is a black, 1950s era Cadillac."
CEventMenInBlackAtDoor,ChoiceA,Open the door
CEventMenInBlackAtDoor,ChoiceB,Back away
CEventMenInBlackAtDoor,ResultA,"You open the door. You notice that the men's suits hang strangely on their frames. They stare without moving. Beyond them, you note that the black Caddie looks factory new. Finally, the slightly taller one speaks in a language you've never heard. You tell him that you don't understand. He hands you a wall clock, turns around awkwardly, and walks down the steps, followed by the other man. You notice that they walk in a strange waddling fashion. They get into the Caddie. You're shocked when it races down the street backwards to a cross street and then speeds away. You're left a bit shaken, wondering what just happened. You look at the wall clock. It's pretty nice."
CEventMenInBlackAtDoor,ResultB,"You quietly back away from the door. After a moment, you hear a shuffling sound from outside the door. You venture back to the peephole. When you look through it, you see the two men waddling strangely to the Cadillac. They get inside and speed away backwards. You're left a bit shaken and wondering, ""What just happened?"""
CEventMetallicKnockingOnDoor,Title,The Metallic Knocking
CEventMetallicKnockingOnDoor,Desc,"While you watch a fierce storm raging outside, you suddenly hear a loud metallic knocking coming from the front door. As you vacillate about what to do, the sound stops. Maybe the wind blew something against the door and now it's gone. As you turn back to watch the storm, the metallic knocking starts again. A bit unnerved, but curious, you go to the front door and sneak look through the peephole. You're taken aback by what you see"
CEventMetallicKnockingOnDoor,ChoiceA,Open the door
CEventMetallicKnockingOnDoor,ChoiceB,Back away
CEventMetallicKnockingOnDoor,ResultA,"You take a deep breath and slowly let it out, then carefully inch the door open, ready to slam it shut on a moment's notice. The machine says, ""Signal lost. Must seek shelter"".You open the door wider and it walks in with surprising agility. The robot looks around, walks to the closest electrical outlet and plugs itself in, saying, ""Initiating sleep mode"", and its eyes go dark. The doorbell rings. You open the door to find four young men, who quickly explain that they're from the local university. They lost communications because of the electrical storm, but tracked their robot to this location, where its artificial intelligence allowed it to seek shelter. There's a reward for helping out."
CEventMetallicKnockingOnDoor,ResultB,"You back away from the door. The knocking stops. After a moment, you hear more sounds and people talking. You can't resist and must take a look. Through the peephole, you see four young men who've tied a tarp over the robot to protect it from the rain and have it loaded it onto a dolly. You continue to watch as they take it to a van parked out front. They use a lift to load it into the back. As they drive off, you see a logo on the side of the van, ""ACME School of Technology"", and worry about what else may be going on over there."
CEventMeteoriteFallsInYard1,Title,The Meteorite
CEventMeteoriteFallsInYard1,Desc,"You hear a sonic boom followed a moment later by a ""THUD!"" in the yard. Maybe you should investigate."
CEventMeteoriteFallsInYard2,Title,A scientist is at the door inquiring about meteorite fragments that may have come down in the area. He offers 50 coins per fragment.
CEventMeteoriteFallsInYard2,Desc,A scientist is at the door inquiring about meteorite fragments that may have come down in the area. He offers 50 coins per fragment.
CEventMeteoriteFallsInYard2,ChoiceA,Sell
CEventMeteoriteFallsInYard2,ChoiceB,Keep
CEventMeteoriteFallsInYard2,ResultA,"One fell in the yard. Sure, I'll sell it."
CEventMeteoriteFallsInYard2,ResultB,"No way! Sorry, I'm keeping it."
CEventMissionFromGod,Title,Mission From God
CEventMissionFromGod,Desc,"As you browse the Internet, you hear the roar of Detroit V8 engine from years gone by. It sounds powerful,but begins to spit and sputter as it comes closer. You hear the engine die and the car skid to a stop out front. As you go to the window to look, the doorbell rings. You open the door to find two men dressed in cheap, ill-fitting suites, wearing Fedora hats, and though it's night, sunglasses. The shorter, stubbier one introduces himself as Jake and his partner as Elwood.Elwood says they're on a mission from God, but their car's out of gas. He figures twenty should get them to their destination. The short one makes a comically innocent face."
CEventMissionFromGod,ChoiceA,Give 'em the twenty
CEventMissionFromGod,ChoiceB,What? No way!
CEventMissionFromGod,ResultA,"You look beyond the two men and see a decommissioned 1970s era police car, sigh and figure what the hell. You hand Jake twenty. Jake says, ""God bless. See ya."" The two men tip their hats, execute a military about-face, and quickly head back to the car. When they enter it and close the doors, there's a momentary flash of brilliant white light from inside. Then, though it's dark and you still sees spots from the flash, you could swear the old cop car levitates just a few inches off the ground before quickly floating away without a sound. You wonder why they needed the twenty."
CEventMissionFromGod,ResultB,"The men droop with comically crestfallen faces, turn and slouch back towards their car. Along the way they pause to look back with sad puppy dog faces, just in case you'll change your mind, but you don't. On cue, they deliver dramatic sighs and turn back towards their car. As you watch, Elwood reaches through the open driver's window to grab the steering wheel, and Jake takes a position behind the car and between them, they push the old cop car to your neighbor's house. You sigh, shake your head in disbelief, and go back inside."
CEventOddOldWomanAtDoor,Title,The Odd Old Woman
CEventOddOldWomanAtDoor,Desc,"An older woman, oddly dressed in what appear to be second-hand clothes, is at the front door. You notice holes in her sweater. In a raspy voice, she asks if you'll make a donation for a non-profit cat rescue center. You begin to itch, and your sinuses are acting up. She hands you a quite obviously homemade leaflet. Is this a scam, or is there an actual rescue center? It's hard to say, but if your eyes are any indication, a cat is involved."
CEventOddOldWomanAtDoor,ChoiceA,Donate
CEventOddOldWomanAtDoor,ChoiceB,I'm sorry
CEventOddOldWomanAtDoor,ResultA,Here you go. Thanks for doing what you do.
CEventOddOldWomanAtDoor,ResultB,I'm sorry. Maybe another time.
CEventRIPUncleAlpert,Title,R.I.P. Uncle Alpert
CEventRIPUncleAlpert,Desc,"Auntie Maud writes that sadly, Uncle Alpert has passed on. He died doing what he enjoyed most: mounting a new species of bug in his library. She writes that he was a good man, and despite numerous eccentricities, like his insistence on having exactly twenty-one pairs of socks and his obsession with insect mating rituals, most folks liked him. Alpert enjoyed the company of children, and they often came by to visit, perhaps because of his mischievous sense of humor, which tickled them. There was to be a nice inheritance for you, but burial costs took most of it, since Alpert wanted to be encased in resin. His antique radio is yours to enjoy. With love and memories, Auntie Maud."
CEventResurrectionOfAgatha,Title,The Resurrection of Agatha
CEventResurrectionOfAgatha,Desc,"It looks like your ancient but cherished computer, Agatha, the one who saw you through college and first dates, she who carried you through three failed startups, the poor girl who everyone keeps telling you to donate to charity, will live to see another day. Your IT geek, who just shakes his head every time he steps into your house, managed to save her one"
CEventStrangePackageOnPorch,Title,The Strange Package
CEventStrangePackageOnPorch,Desc,"A shoebox-sized box wrapped in plain brown paper is sitting on your front porch. Who knows how it got there? There is a hastily-scrawled message written in red on the paper covering: ""Go ahead. Open it. You know you want to."" A happy face accompanies the message."
CEventStrangePackageOnPorch,ChoiceA,Open It
CEventStrangePackageOnPorch,ChoiceB,Don't Open It!
CEventStrangePackageOnPorch,ResultA,"You carefully remove the wrapping from what turns out to be a shoebox. You get ready to run, then knock the lid off with a long broom handle. The box pops loudly and gives off a puff of white smoke, but that's it. After the smoke clears, you carefully look inside the box and find a few coins and a note from your crazy uncle, who loves practical jokes. The note says,""You opened it! I knew you would. God loves you; you're nuts! You know that, right?"""
CEventStrangePackageOnPorch,ResultB,"You call the police, who call the bomb squad. The bomb squad brings a robot, and the robot takes the box to the street. As you watch from a safe distance, the police blow up the box. After the explosion, a paper note floats down through the smoke and lands at your feet. It's from your crazy uncle, who likes practical jokes. It says, ""You opened it! I knew you would. God loves you; you're nuts! You know that, right?"" You have a feeling the police will be visiting your uncle."
CEventSurpriseVisitFromUnclePhineas,Title,A Surprise Visit
CEventSurpriseVisitFromUnclePhineas,Desc,"Uncle Phineas, who never left the Sixties, showed up last night and left this morning. Tie dye, long hair (what's left of it), lives in an old VW bus, smells like patchouli oil - the whole enchilada. You never know what to expect from the old guy, and this visit was no exception. He was uncharacteristically melancholy and talked about settling down in a commune up north by a river. He said, ""You know, I won't be on this side of the rainbow forever, man. And, well, I've been meanin' to give you a couple of things."" He wouldn't take no for an answer, so you're the new curator of his underground comics collection and the recipient of an acoustic guitar."
CEventTeens,Title,Teens
CEventTeens,Desc,{name} wants to know if {his/her} friends can hang out at the house. They'll be quiet and won't make a mess... promise.
CEventTeens,ChoiceA,Sure
CEventTeens,ChoiceB,Maybe tomorrow
CEventTeens,ResultA,"You knew what you were getting yourself into, or at least you thought you did, but never underestimate teenagers' ability to make life interesting. At least there were no broken bones involved. Now that they've left, it's time to clean up."
CEventTeens,ResultB,"{name} was disappointed for less than a minute before someone said, ""We can hang out at my house!"" About two hours later, there was a call from {name} saying that there's a little problem about a broken window. Before you could get a word in edgewise, {he/she} continued in rapid fire, ""Don't worry because Raymond's dad is a contractor and he'll fix it,"" but then added quietly, ""and send you the bill."" After a silent moment to make {him/her} squirm a little, you thanked {name} for owning up to the accident and for being honest. {name} said {he/she}'d pay you back with money {he/she} makes at {his/her} library job, and you replied, ""That's true."""
CEventVolunteer,Title,Volunteer
CEventVolunteer,Desc,A heavily tattooed college student is at the door looking for volunteers for a well-known local soup kitchen.
CEventVolunteer,ChoiceA,Volunteer
CEventVolunteer,ChoiceB,"Sorry, no"
CEventVolunteer,ResultA,"Sure, I can find some time."
CEventVolunteer,ResultB,I'm sorry. I'm afraid I don't have the time.
